Product Release,Support Status,General Availability,End of General Support,End of Technical Guidance,End of Availability,Category,Vendor
Workstation 16 Pro and Workstation 16 Player,Supported,2020-09-14,2023-03-31,,,,Vmware
Workstation 17.0.0,Supported,2020-09-14,2024-02-17,,,,Vmware
Workstation 5.x,Unsupported,2005-04-07,EOS Reached,,,,Vmware
Workstation 6.x,Unsupported,2007-05-09,2011-10-01,,,,Vmware
Workstation 7.x,Unsupported,2009-10-27,2011-10-31,,2011-09-14,,Vmware
Workstation 8.x,Unsupported,2011-09-14,2013-09-14,,2012-08-23,,Vmware
Workstation 9.x,Unsupported,2012-08-23,2014-08-23,,2013-09-04,,Vmware
vCenter AppSpeed 1.0,Unsupported,2009-07-13,2011-07-13,,2012-01-03,,Vmware
vCenter AppSpeed 1.5,Unsupported,2010-09-15,2013-07-03,,2012-01-03,,Vmware
vCenter Application Discovery Manager 6.0,Unsupported,2009-06-22,2011-06-22,,2013-06-01,,Vmware
vCenter Application Discovery Manager 6.1,Unsupported,2010-08-19,2011-06-22,,2013-06-01,,Vmware
vCenter Application Discovery Manager 6.2,Unsupported,2011-05-26,2013-09-13,,2013-06-01,,Vmware
vCenter Application Discovery Manager 7.0,Unsupported,2012-09-13,2017-03-08,,2013-06-01,,Vmware
vCenter Application Discovery Manager 7.1,Unsupported,2015-08-13,2020-06-30,,2013-06-01,,Vmware
vCenter Application Stack Manager 3.x,Unsupported,2009-04-01,2011-04-01,,2012-01-03,,Vmware
vCenter Capacity IQ 1.0,Unsupported,2009-10-19,2011-10-19,,2012-01-24,,Vmware
vCenter Capacity IQ 1.5,Unsupported,2010-12-01,2012-12-01,,2012-01-24,,Vmware
vCenter Chargeback Manager 1.x,Unsupported,2009-07-13,2011-07-13,,2014-06-10,,Vmware
vCenter Chargeback Manager 2.0.x,Unsupported,2011-11-30,2013-11-30,,2014-06-10,,Vmware
vCenter Chargeback Manager 2.7.x,Unsupported,2014-10-07,2019-12-31,,,,Vmware
vCenter Configuration Manager 5.4.0,Unsupported,2010-12-13,2012-12-13,,,,Vmware
vCenter Configuration Manager 5.4.1,Unsupported,2011-11-01,2013-11-01,,,,Vmware
vCenter Configuration Manager 5.5,Unsupported,2012-03-15,2014-03-15,,,,Vmware
vCenter Configuration Manager 5.6,Unsupported,2012-11-29,2014-11-29,,,,Vmware
vCenter Configuration Manager 5.7,Unsupported,2013-07-25,2015-07-25,,,,Vmware
vCenter Configuration Manager 5.7.1,Unsupported,2013-12-10,2015-12-10,,,,Vmware
vCenter Configuration Manager 5.7.2,Unsupported,2014-06-24,2016-06-24,,,,Vmware
vCenter Converter Integrated 4.x,Unsupported,2009-05-21,2011-05-21,,,,Vmware
vCenter Converter Standalone 3.x,Unsupported,2007-01-30,2010-08-12,,,,Vmware
vCenter Converter Standalone 4.x,Unsupported,2009-02-12,2012-09-01,,,,Vmware
vCenter Converter Standalone 5.0,Unsupported,2011-09-01,2013-09-01,,,,Vmware
vCenter Converter Standalone 5.1,Unsupported,2013-04-25,2014-12-31,,,,Vmware
vCenter Converter Standalone 5.5,Unsupported,2013-10-22,2015-10-22,,,,Vmware
vCenter Converter Standalone 6.0,Unsupported,2015-05-14,2017-05-14,,,,Vmware
vCenter Converter Standalone 6.1,Unsupported,2016-01-19,2017-05-14,,,,Vmware
vCenter Converter Standalone 6.2,Unsupported,2017-12-14,2019-12-14,,,,Vmware
vCenter Converter Standalone 6.3.0,Supported,2022-10-11,2024-04-11,,,,Vmware
vCenter Lab Manager 2.x,Unsupported,2006-12-22,2010-02-04,,2012-06-01,,Vmware
vCenter Lab Manager 3.x,Unsupported,2008-08-04,2011-01-13,,2012-06-01,,Vmware
vCenter Lifecycle Manager 1.x,Unsupported,2008-03-31,2012-03-01,,2010-09-01,,Vmware
vCenter Log Insight 1.0,Unsupported,2013-07-09,2015-07-09,,,,Vmware
vCenter Log Insight 1.5,Unsupported,2014-01-10,2015-07-09,,,,Vmware
vCenter Log Insight 2.0,Unsupported,2014-06-10,2016-06-10,,,,Vmware
vCenter Operations 5.0,Unsupported,2012-01-24,2014-01-24,,,,Vmware
vCenter Operations 5.6,Unsupported,2012-11-29,2014-01-24,,,,Vmware
vCenter Operations 5.7,Unsupported,2013-04-04,2015-12-30,,,,Vmware
vCenter Operations 5.8,Unsupported,2013-12-10,2015-12-30,,,,Vmware
vCenter Operations 5.8.5 Foundation Only,Unsupported,2015-03-12,2016-12-31,,,,Vmware
vCenter Operations Enterprise 1.0,Unsupported,2011-03-31,2013-03-31,,,,Vmware
vCenter Operations Management Pack for Epic 1.0,Unsupported,2014-06-03,2016-06-03,,,,Vmware
vCenter Operations Manager for View 1.6,Unsupported,2014-06-19,2015-12-09,,,,Vmware
vCenter Operations Manager for View 1.7,Unsupported,2014-09-09,2015-12-09,,,,Vmware
vCenter Operations Standard 1.0,Unsupported,2011-03-14,2013-03-14,,,,Vmware
vCenter Server 4.x,Unsupported,2009-05-21,2014-05-21,2016-05-21,2013-08-15,,Vmware
vCenter Server 5.0 and 5.1,Unsupported,2011-08-24,2016-08-24,2018-08-24,2017-12-08,,Vmware
vCenter Server 5.5,Unsupported,2013-09-19,2018-09-19,2020-09-19,2017-12-08,,Vmware
vCenter Server 6.0,Unsupported,2015-03-12,2020-03-12,2022-03-12,2020-05-15,,Vmware
vCenter Server 6.5,Supported,2016-11-15,2022-10-15,2023-11-15,2020-05-15,,Vmware
vCenter Server 6.7,Supported,2018-04-17,2022-10-15,2023-11-15,2020-05-15,,Vmware
vCenter Server 7.0,Supported,2020-04-02,2025-04-02,2027-04-02,2022-10-11,,Vmware
vCenter Server 8.0,Supported,2022-10-11,2027-10-11,2029-10-11,,,Vmware
vCenter Server Heartbeat 5.5,Unsupported,2009-11-19,2011-03-10,,2014-06-02,,Vmware
vCenter Server Heartbeat 6.0 and 6.5,Unsupported,2010-07-13,2015-07-13,2017-07-13,2014-06-02,,Vmware
vCenter Server Heartbeat 6.6,Unsupported,2013-09-22,2018-09-19,2020-09-19,2014-06-02,,Vmware
vCenter Site Recovery Manager 1.x,Unsupported,2008-06-19,2011-05-05,,,,Vmware
vCenter Site Recovery Manager 4.0,Unsupported,2009-10-05,2011-10-21,,,,Vmware
vCenter Site Recovery Manager 4.1,Unsupported,2010-07-13,2012-10-21,,,,Vmware
vCenter Update Manager 5.0 and 5.1,Unsupported,2011-08-24,2016-08-24,2018-08-24,,,Vmware
vCenter Update Manager 5.5,Unsupported,2013-09-19,2018-09-19,2020-09-19,,,Vmware
vCenter Update Manager 6.0,Unsupported,2015-03-12,2020-03-12,2022-03-12,,,Vmware
vCloud Application Director 6.0,Unsupported,2013-12-10,2016-09-15,,,,Vmware
vCloud Automation Center 5.1,Unsupported,2012-12-13,2014-12-10,,,,Vmware
vCloud Automation Center 5.2,Unsupported,2013-09-19,2016-12-15,,,,Vmware
vCloud Automation Center 6.0,Unsupported,2013-12-10,2015-12-10,,,,Vmware
vCloud Automation Center 6.1,Unsupported,2014-09-09,2015-12-10,,,,Vmware
vCloud Availability 3.0,Unsupported,2019-04-11,2021-04-11,,,,Vmware
vCloud Availability 3.5,Unsupported,2019-11-14,2021-11-14,,,,Vmware
vCloud Availability for Cloud-to-Cloud DR 1.x,Unsupported,2018-05-17,2020-05-17,,2019-03-28,,Vmware
vCloud Availability for vCloud Director 1.0,Unsupported,2016-07-28,2018-07-28,,,,Vmware
vCloud Availability for vCloud Director 2.0,Unsupported,2017-10-19,2019-10-19,,2019-03-28,,Vmware
vCloud Connector 1.0,Unsupported,2011-01-25,2012-11-16,,,,Vmware
vCloud Connector 1.5,Unsupported,2011-11-15,2013-12-20,,,,Vmware
vCloud Connector 2.0,Unsupported,2012-12-20,2014-12-20,,,,Vmware
vCloud Connector 2.5,Unsupported,2013-06-11,2014-12-20,,,,Vmware
vCloud Connector 2.6,Unsupported,2014-02-11,2014-12-20,,,,Vmware
vCloud Connector 2.7,Unsupported,2014-11-13,2016-03-31,,,,Vmware
vCloud Director 1.0,Unsupported,2010-08-31,2012-08-31,,,,Vmware
vCloud Director 1.5,Unsupported,2011-08-31,2013-09-10,,,,Vmware
vCloud Director 5.1,Unsupported,2012-09-10,2014-09-10,,2013-09-19,,Vmware
vCloud Director 5.5,Unsupported,2013-09-19,2017-09-19,,2015-03-12,,Vmware
vCloud Director Extender 1.0,Unsupported,2017-10-19,2019-10-19,,2019-03-28,,Vmware
vCloud Director Extender 1.1,Unsupported,2018-04-19,2019-10-19,,2019-03-28,,Vmware
vCloud Director Object Storage Extension 1.0,Unsupported,2019-07-18,2021-07-18,,,,Vmware
vCloud Director Object Storage Extension 1.0.1,Unsupported,2019-10-24,2021-10-24,,,,Vmware
vCloud Director for Service Providers 5.6,Unsupported,2014-10-07,2016-10-07,,,,Vmware
vCloud Director for Service Providers 8.0,Unsupported,2015-09-10,2017-09-10,,,,Vmware
vCloud Director for Service Providers 8.10,Unsupported,2016-05-26,2018-05-31,,,,Vmware
vCloud Director for Service Providers 8.20,Unsupported,2017-02-21,2019-02-21,,,,Vmware
vCloud Director for Service Providers 9.0,Unsupported,2017-09-28,2019-09-28,,,,Vmware
vCloud Director for Service Providers 9.1,Unsupported,2018-03-08,2020-03-08,,,,Vmware
vCloud Director for Service Providers 9.5,Unsupported,2018-10-04,2020-10-04,,,,Vmware
vCloud Director for Service Providers 9.7,Unsupported,2019-03-28,2021-03-28,,,,Vmware
vCloud Networking and Security 5.1,Unsupported,2012-09-10,2014-09-10,,2013-09-30,,Vmware
vCloud Networking and Security 5.5,Unsupported,2013-09-19,2016-09-19,,2015-03-12,,Vmware
vCloud Request Manager 1.0,Unsupported,2010-12-01,2013-07-03,,2012-01-03,,Vmware
vCloud Usage Meter 3.5.0,Unsupported,2016-09-16,2019-03-31,,,,Vmware
vCloud Usage Meter 3.6.0,Unsupported,2017-07-13,2018-07-13,,,,Vmware
vCloud Usage Meter 3.6.1,Unsupported,2017-12-12,2021-07-31,,2020-11-05,,Vmware
vCloud Usage Meter 4.1,Unsupported,2019-09-15,2020-09-15,,2020-08-13,,Vmware
vCloud Usage Meter 4.2,Unsupported,2020-05-21,2021-05-30,,,,Vmware
vCloud Usage Meter 4.3,Unsupported,2020-11-05,2021-11-05,2022-11-04,2021-07-30,,Vmware
vCloud Usage Meter 4.4,Supported,2021-05-04,2022-05-04,2023-05-04,,,Vmware
vCloud Usage Meter 4.5,Supported,2021-12-16,2022-12-16,2023-12-16,,,Vmware
vCloud Usage Meter 4.6,Supported,2022-10-04,2023-10-03,2024-10-03,,,Vmware
vFabric AppInsight 1.x,Unsupported,2011-11-01,2013-11-01,,,,Vmware
vFabric AppInsight 5.0,Unsupported,2012-11-19,2014-11-19,,,,Vmware
vFabric Application Director 1.0,Unsupported,2012-03-15,2014-03-15,,,,Vmware
vFabric Application Director 5.0,Unsupported,2012-11-29,2014-11-29,,,,Vmware
vFabric Application Director 5.2,Unsupported,2013-09-19,2016-03-15,,,,Vmware
vFabric Data Director 1.0,Unsupported,2011-09-08,2014-09-08,2015-09-08,2017-12-01,,Vmware
vFabric Data Director 2.0,Unsupported,2012-07-10,2015-07-10,2016-07-10,2017-12-01,,Vmware
vFabric Data Director 2.5,Unsupported,2012-11-29,2015-07-10,2016-07-10,2017-12-01,,Vmware
vFabric Data Director 2.7.0,Unsupported,2013-05-16,2017-12-01,,,,Vmware
vFabric Enterprise Ready Server Version 4 - Tomcat version 5.5.x,Unsupported,2009-11-30,2012-06-30,2013-06-30,2013-07-01,,Vmware
vFabric Enterprise Ready Server Version 4 - Tomcat version 6.0.x,Unsupported,2009-11-30,2014-07-01,2015-07-01,2013-07-01,,Vmware
vFabric Enterprise Ready Server Version 4 - httpd version 1.3,Unsupported,2009-11-30,2012-11-30,2013-11-30,2013-07-01,,Vmware
vFabric Gemfire 6.5 or prior,Unsupported,2010-10-12,2013-10-12,2014-10-12,,,Vmware
vFabric Gemfire 6.6.x,Unsupported,2011-09-14,2014-09-14,2015-09-14,,,Vmware
vFabric Gemfire 7.0.x,Unsupported,2012-10-25,2015-10-25,2016-10-25,,,Vmware
vFabric Hyperic 4.5 and prior,Unsupported,2009-11-30,2012-11-30,2013-11-30,,,Vmware
vFabric Hyperic 4.6,Unsupported,2011-09-14,2014-09-14,2015-09-14,,,Vmware
vFabric Hyperic 5.0,Unsupported,2012-11-19,2015-11-19,2016-11-19,,,Vmware
vFabric Hyperic 5.7.x,Unsupported,2013-09-03,2015-11-19,2016-11-19,,,Vmware
vFabric Postgres 9.1,Unsupported,2012-05-22,2015-05-22,2016-05-22,2014-09-01,,Vmware
vFabric Postgres 9.2,Unsupported,2013-02-07,2016-02-07,2017-02-07,2014-09-01,,Vmware
vFabric Postgres 9.3,Unsupported,2013-11-19,2016-11-19,2017-11-19,2014-09-01,,Vmware
vFabric RabbitMQ 2.4.1,Unsupported,2011-09-14,2014-09-14,2015-09-14,,,Vmware
vFabric RabbitMQ 2.8.x,Unsupported,2012-05-16,2014-09-14,2015-09-14,,,Vmware
vFabric RabbitMQ 3.0.x,Unsupported,2013-04-24,2015-10-25,2016-10-25,,,Vmware
vFabric SQLFire 1.0,Unsupported,2011-12-13,2014-12-13,2015-12-13,2014-11-01,,Vmware
vFabric SQLFire 1.1,Unsupported,2013-04-24,2016-01-15,2017-01-15,2014-11-01,,Vmware
vFabric Suite 5.0,Unsupported,2011-09-14,2014-09-14,2015-09-14,2014-09-01,,Vmware
vFabric Suite 5.1,Unsupported,2012-05-22,2014-09-14,2015-09-14,2014-09-01,,Vmware
vFabric Suite 5.2,Unsupported,2012-10-16,2014-09-14,2015-09-14,2014-09-01,,Vmware
vFabric Suite 5.3,Unsupported,2012-04-25,2016-01-15,2017-01-15,2014-09-01,,Vmware
vFabric Web Server 5.0,Unsupported,2011-09-14,2014-09-14,2015-09-14,2015-03-01,,Vmware
vFabric Web Server 5.1,Unsupported,2012-05-16,2014-09-14,2015-09-14,2015-03-01,,Vmware
vFabric Web Server 5.2,Unsupported,2012-10-16,2014-09-14,2015-09-14,2015-03-01,,Vmware
vFabric Web Server 5.3,Unsupported,2013-04-24,2014-10-24,2015-10-24,2015-03-01,,Vmware
vFabric tc Server 2.0,Unsupported,2010-04-01,2013-04-01,2014-04-01,,,Vmware
vFabric tc Server 2.1,Unsupported,2010-11-08,2013-11-08,2014-11-08,,,Vmware
vFabric tc Server 2.5,Unsupported,2011-04-30,2014-04-30,2015-04-30,,,Vmware
vFabric tc Server 2.6,Unsupported,2011-09-14,2014-09-14,2015-09-14,,,Vmware
vFabric tc Server 2.7,Unsupported,2012-05-16,2014-09-14,2015-09-14,,,Vmware
vFabric tc Server 2.8,Unsupported,2012-10-16,2014-09-14,2015-09-14,,,Vmware
vFabric tc Server 2.9,Unsupported,2013-04-24,2016-12-31,2017-12-31,,,Vmware
"vRealize Automation 6.2.1, 6.2.2, 6.2.3, 6.2.4",Unsupported,2014-12-09,2017-12-15,,,,Vmware
vRealize Automation 7.0,Unsupported,2015-12-17,2018-12-17,,,,Vmware
vRealize Automation 7.1,Unsupported,2016-08-23,2018-12-17,,,,Vmware
vRealize Automation 7.2,Unsupported,2016-11-22,2018-12-17,,,,Vmware
vRealize Automation 7.3,Unsupported,2017-05-25,2019-12-17,,,,Vmware
"vRealize Automation 7.4, 7.5",Unsupported,2018-09-20,2020-12-17,,,,Vmware
vRealize Automation 7.6,Unsupported,2019-04-11,2022-09-01,,,,Vmware
vRealize Automation 8.0,Unsupported,2019-10-17,2021-10-17,,,,Vmware
vRealize Automation 8.0.1,Unsupported,2019-12-19,2021-10-17,,,,Vmware
vRealize Automation 8.1,Unsupported,2020-04-14,2021-10-17,,,,Vmware
vRealize Automation 8.10,Supported,2022-10-11,2023-10-11,,,,Vmware
vRealize Automation 8.10.1,Supported,2022-11-08,2023-11-08,,,,Vmware
vRealize Automation 8.10.2,Supported,2022-12-06,2023-12-06,,,,Vmware
vRealize Automation 8.11,Supported,2023-01-19,2024-01-19,,,,Vmware
vRealize Automation 8.11.1,Supported,2023-02-21,2024-02-21,,,,Vmware
vRealize Automation 8.2,Unsupported,2020-10-06,2022-10-31,,,,Vmware
vRealize Automation 8.3,Unsupported,2021-02-04,2022-10-31,,,,Vmware
vRealize Automation 8.4,Unsupported,2021-04-15,2022-10-31,,,,Vmware
vRealize Automation 8.5,Unsupported,2021-08-19,2022-10-31,,,,Vmware
vRealize Automation 8.6,Unsupported,2021-10-12,2022-10-31,,,,Vmware
vRealize Automation 8.6.1,Unsupported,2021-11-19,2022-11-19,,,,Vmware
vRealize Automation 8.6.2,Unsupported,2022-01-18,2023-01-18,,,,Vmware
vRealize Automation 8.7,Supported,2022-03-22,2023-03-22,,,,Vmware
vRealize Automation 8.8,Supported,2022-04-28,2023-04-28,,,,Vmware
vRealize Automation 8.8.1,Supported,2022-06-09,2023-06-09,,,,Vmware
vRealize Automation 8.8.2,Supported,2022-07-12,2023-07-12,,,,Vmware
vRealize Automation 8.9,Supported,2022-08-09,2023-08-09,,,,Vmware
vRealize Automation 8.9.1,Supported,2022-09-06,2023-09-06,,,,Vmware
vRealize Automation SaltStack SecOps 8.3,Unsupported,2021-02-04,2022-02-04,,,,Vmware
vRealize Business Advanced 8.2,Unsupported,2014-12-09,2016-12-31,,2016-03-01,,Vmware
vRealize Business Enterprise 8.2,Unsupported,2014-12-09,2017-12-31,,2016-12-01,,Vmware
vRealize Business Enterprise 8.3,Unsupported,2016-06-16,2017-12-31,,2016-12-01,,Vmware
vRealize Business Enterprise 8.4,Unsupported,2016-08-30,2017-12-31,,2016-12-01,,Vmware
vRealize Business Standard 6.0,Unsupported,2014-12-09,2016-12-17,,2016-03-01,,Vmware
vRealize Business Standard 7.0,Unsupported,2015-12-17,2017-12-17,,,,Vmware
vRealize Business for Cloud 7.0,Unsupported,2016-03-15,2018-03-15,,,,Vmware
vRealize Business for Cloud 7.1,Unsupported,2016-08-23,2018-03-15,,,,Vmware
vRealize Business for Cloud 7.2,Unsupported,2016-11-15,2018-03-15,,,,Vmware
vRealize Business for Cloud 7.3,Unsupported,2017-06-13,2019-03-15,,,,Vmware
vRealize Business for Cloud 7.4,Unsupported,2018-04-12,2019-04-12,,,,Vmware
vRealize Business for Cloud 7.5,Unsupported,2018-09-20,2020-12-17,,,,Vmware
vRealize Business for Cloud 7.6,Unsupported,2019-04-11,2022-09-01,,,,Vmware
vRealize Code Stream 1.0,Unsupported,2014-12-09,2016-12-09,,,,Vmware
vRealize Code Stream 2.0,Unsupported,2016-03-15,2018-03-15,,,,Vmware
vRealize Code Stream 2.1,Unsupported,2016-08-23,2018-03-15,,,,Vmware
vRealize Code Stream 2.2,Unsupported,2017-01-01,2018-06-30,,,,Vmware
vRealize Code Stream 2.3,Unsupported,2017-05-16,2018-12-31,,,,Vmware
vRealize Code Stream 2.4,Unsupported,2018-04-12,2021-02-28,,2020-10-31,,Vmware
vRealize Configuration Manager 5.7.3,Unsupported,2014-12-09,2016-12-09,,,,Vmware
vRealize Configuration Manager 5.8,Unsupported,2015-06-09,2021-01-31,,,,Vmware
vRealize Configuration Manager 5.8.3,Unsupported,2016-12-01,2021-01-31,,,,Vmware
vRealize Configuration Manager 5.8.x,Unsupported,2018-01-17,2021-01-30,,2020-01-02,,Vmware
vRealize Hyperic 5.8.4 - 5.8.6,Unsupported,2014-12-09,2021-01-31,,,,Vmware
vRealize Infrastructure Navigator 5.8.x,Unsupported,2013-12-10,2017-09-26,,2017-09-26,,Vmware
vRealize Log Insight 2.5,Unsupported,2014-12-09,2016-09-10,,,,Vmware
vRealize Log Insight 3.0,Unsupported,2015-09-10,2017-09-10,,,,Vmware
vRealize Log Insight 3.3,Unsupported,2016-03-01,2017-09-10,,,,Vmware
vRealize Log Insight 3.6,Unsupported,2016-08-11,2017-09-10,,,,Vmware
vRealize Log Insight 4.0,Unsupported,2016-11-15,2018-11-15,,,,Vmware
vRealize Log Insight 4.3,Unsupported,2017-03-02,2018-11-15,,,,Vmware
vRealize Log Insight 4.5,Unsupported,2017-06-13,2018-11-15,,,,Vmware
vRealize Log Insight 4.6,Unsupported,2018-04-12,2019-08-23,,,,Vmware
vRealize Log Insight 4.7,Unsupported,2018-09-20,2020-04-11,,,,Vmware
vRealize Log Insight 4.8,Unsupported,2019-04-08,2021-10-31,,,,Vmware
vRealize Log Insight 8.0,Unsupported,2019-10-17,2021-10-17,,,,Vmware
vRealize Log Insight 8.1,Unsupported,2020-04-14,2021-10-17,,,,Vmware
vRealize Log Insight 8.10,Supported,2022-10-20,2024-04-28,,,,Vmware
vRealize Log Insight 8.2,Unsupported,2020-10-06,2022-10-31,,,,Vmware
vRealize Log Insight 8.3,Unsupported,2021-02-04,2022-10-31,,,,Vmware
vRealize Log Insight 8.4,Unsupported,2021-04-15,2022-10-31,,,,Vmware
vRealize Log Insight 8.6,Supported,2021-10-12,2023-10-31,,,,Vmware
vRealize Log Insight 8.8,Supported,2022-04-28,2024-04-28,,,,Vmware
"vRealize Network Insight 3.0, 3.1, 3.2, 3.3, 3.4, 3.5, 3.6",Unsupported,2016-08-01,2018-08-01,,,,Vmware
vRealize Network Insight 3.7,Unsupported,2018-02-22,2019-02-22,,,,Vmware
vRealize Network Insight 3.8,Unsupported,2018-06-19,2019-02-22,,,,Vmware
vRealize Network Insight 3.9,Unsupported,2018-09-20,2019-12-20,,,,Vmware
vRealize Network Insight 4.0,Unsupported,2018-12-20,2020-12-20,,,,Vmware
vRealize Network Insight 4.1,Unsupported,2019-04-11,2020-12-20,,,,Vmware
vRealize Network Insight 4.2,Unsupported,2019-07-18,2020-12-20,,,,Vmware
vRealize Network Insight 5.0,Unsupported,2019-09-19,2021-10-31,,,,Vmware
vRealize Network Insight 5.1,Unsupported,2020-01-14,2021-10-31,,,,Vmware
vRealize Network Insight 5.2,Unsupported,2020-04-12,2021-10-31,,,,Vmware
vRealize Network Insight 5.3,Unsupported,2020-07-14,2022-10-31,,,,Vmware
vRealize Network Insight 6.0.0,Unsupported,2020-10-13,2022-10-13,,,,Vmware
vRealize Network Insight 6.1.0,Unsupported,2021-01-14,2022-10-13,,,,Vmware
vRealize Network Insight 6.2.0,Supported,2021-04-15,2023-10-13,,,,Vmware
vRealize Network Insight 6.3.0,Supported,2021-07-13,2023-10-13,,,,Vmware
vRealize Network Insight 6.4,Supported,2021-10-12,2023-10-13,,,,Vmware
vRealize Network Insight 6.5.0,Supported,2022-01-13,2023-10-13,,,,Vmware
vRealize Network Insight 6.5.1,Supported,2022-02-03,2023-10-13,,,,Vmware
vRealize Network Insight 6.6.0,Supported,2022-04-12,2024-04-12,,,,Vmware
vRealize Network Insight 6.7,Supported,2022-07-12,2024-07-12,,,,Vmware
vRealize Network Insight 6.8.0,Supported,2022-10-27,2024-10-27,,2024-10-27,,Vmware
vRealize Network Insight 6.9.0,Supported,2023-02-07,2025-02-07,,,,Vmware
vRealize Operations 6.0,Unsupported,2014-12-09,2016-12-09,,,,Vmware
vRealize Operations 6.1,Unsupported,2015-09-10,2016-12-09,,,,Vmware
vRealize Operations 8.10,Supported,2022-10-11,2024-10-11,,,,Vmware
vRealize Operations 8.2,Unsupported,2020-10-06,2022-10-31,,,,Vmware
vRealize Operations 8.3,Unsupported,2021-02-04,2022-10-31,,,,Vmware
vRealize Operations 8.4,Unsupported,2021-04-15,2022-10-31,,,,Vmware
vRealize Operations 8.5,Unsupported,2021-07-13,2022-10-31,,,,Vmware
vRealize Operations 8.6.x,Supported,2021-10-12,2023-10-31,,,,Vmware
vRealize Operations Management Pack for MEDITECH 1.0,Unsupported,2015-09-16,2017-09-16,,,,Vmware
vRealize Operations Management Pack for MEDITECH 3.0,Unsupported,2020-10-06,2022-10-06,,,,Vmware
vRealize Operations Manager 6.2a,Unsupported,2016-02-10,2017-06-30,,,,Vmware
vRealize Operations Manager 6.3,Unsupported,2016-08-23,2018-08-23,,,,Vmware
vRealize Operations Manager 6.4,Unsupported,2016-11-15,2018-08-23,,,,Vmware
vRealize Operations Manager 6.5,Unsupported,2017-03-02,2018-08-23,,,,Vmware
vRealize Operations Manager 6.6,Unsupported,2017-06-13,2019-08-23,,,,Vmware
vRealize Operations Manager 6.6.1,Unsupported,2017-08-08,2020-04-30,,,,Vmware
vRealize Operations Manager 6.7,Unsupported,2018-04-12,2020-04-30,,,,Vmware
vRealize Operations Manager 7.0,Unsupported,2018-09-20,2021-04-30,,,,Vmware
vRealize Operations Manager 7.5,Unsupported,2019-04-11,2021-10-31,,,,Vmware
vRealize Operations Manager 8.0,Unsupported,2019-10-17,2021-10-31,,,,Vmware
vRealize Operations Manager 8.0.1,Unsupported,2019-12-19,2021-10-31,,,,Vmware
vRealize Operations Manager 8.1,Unsupported,2020-04-14,2021-10-31,,,,Vmware
vRealize Operations Manager 8.1.1,Unsupported,2020-07-09,2022-07-09,,,,Vmware
vRealize Operations for Horizon 6.0,Unsupported,2014-12-09,2016-12-09,,,,Vmware
vRealize Operations for Horizon 6.1,Unsupported,2015-06-15,2017-06-15,2018-06-15,,,Vmware
vRealize Operations for Horizon 6.2,Unsupported,2015-12-08,2017-06-30,2018-06-30,,,Vmware
vRealize Operations for Horizon 6.3,Unsupported,2016-06-16,2017-12-08,2018-12-08,,,Vmware
vRealize Operations for Horizon 6.4,Unsupported,2016-12-08,2018-12-08,2019-12-08,,,Vmware
vRealize Operations for Horizon 6.5,Unsupported,2017-09-21,2019-03-21,2020-03-21,,,Vmware
vRealize Operations for Horizon 6.6,Unsupported,2018-09-20,2021-04-30,2022-03-20,,,Vmware
vRealize Operations for Horizon 6.7,Supported,2019-10-17,2022-10-15,2023-03-23,,,Vmware
vRealize Operations for Published Applications 6.1,Unsupported,2015-06-15,2018-06-30,,,,Vmware
vRealize Operations for Published Applications 6.2,Unsupported,2015-12-08,2017-06-30,2018-06-30,,,Vmware
vRealize Operations for Published Applications 6.3,Unsupported,2016-06-16,2017-12-08,2018-12-08,,,Vmware
vRealize Operations for Published Applications 6.4,Unsupported,2016-12-08,2018-12-08,2019-12-08,,,Vmware
vRealize Operations for Published Applications 6.5,Unsupported,2017-09-21,2019-03-21,2020-03-21,,,Vmware
vRealize Orchestrator 7.0,Unsupported,2015-12-17,2018-12-17,,,,Vmware
vRealize Orchestrator 7.1,Unsupported,2016-08-23,2018-12-17,,,,Vmware
vRealize Orchestrator 7.2,Unsupported,2016-11-22,2018-12-17,,,,Vmware
vRealize Orchestrator 7.3,Unsupported,2017-05-16,2019-12-17,,,,Vmware
"vRealize Orchestrator 7.4, 7.5",Unsupported,2018-09-19,2020-12-17,,,,Vmware
vRealize Orchestrator 7.6,Unsupported,2019-04-11,2023-01-31,,,,Vmware
vRealize Orchestrator 8.0,Unsupported,2019-10-17,2021-10-17,,,,Vmware
vRealize Orchestrator 8.1,Unsupported,2020-04-14,2021-10-17,,,,Vmware
vRealize Orchestrator 8.10,Supported,2022-10-11,2023-10-11,,,,Vmware
vRealize Orchestrator 8.10.1,Supported,2022-11-08,2023-11-08,,,,Vmware
vRealize Orchestrator 8.10.2,Supported,2022-12-06,2023-12-06,,,,Vmware
vRealize Orchestrator 8.11,Supported,2023-01-19,2024-01-19,,,,Vmware
vRealize Orchestrator 8.11.1,Supported,2023-02-21,2024-02-21,,,,Vmware
vRealize Orchestrator 8.2,Unsupported,2020-10-06,2022-10-31,,,,Vmware
vRealize Orchestrator 8.3,Unsupported,2021-02-04,2022-10-31,,,,Vmware
vRealize Orchestrator 8.4,Unsupported,2021-04-15,2022-10-31,,,,Vmware
vRealize Orchestrator 8.5,Unsupported,2021-08-19,2022-10-31,,,,Vmware
vRealize Orchestrator 8.6,Unsupported,2021-10-12,2022-10-31,,,,Vmware
vRealize Orchestrator 8.6.2,Unsupported,2022-01-18,2023-01-18,,,,Vmware
